pair,method,group_a,group_b,logZ_a,logZ_b,logBF_a_minus_b,abs_logBF,minuslogpost_min_a,minuslogpost_min_b,map_logpost_gap_a_minus_b,null_label,iteration
native_combined_random_split_perm010,iqr_diagonal_laplace,native_combined_random_split_perm010_A,native_combined_random_split_perm010_B,-755.3134883230273,-755.4575245851711,0.14403626214379983,0.14403626214379983,729.84925,729.91096,0.06171000000006188,native_combined_random_split,10
native_combined_random_split_perm011,full_covariance_laplace,native_combined_random_split_perm011_A,native_combined_random_split_perm011_B,-754.6801867592626,-753.914770629475,-0.7654161297875817,0.7654161297875817,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,11
native_combined_random_split_perm011,diagonal_covariance_laplace,native_combined_random_split_perm011_A,native_combined_random_split_perm011_B,-754.6797159405328,-753.9129225774096,-0.7667933631231563,0.7667933631231563,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,11
native_combined_random_split_perm011,iqr_diagonal_laplace,native_combined_random_split_perm011_A,native_combined_random_split_perm011_B,-755.4263396937314,-755.3352484179594,-0.09109127577198706,0.09109127577198706,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,11
native_combined_random_split_perm012,full_covariance_laplace,native_combined_random_split_perm012_A,native_combined_random_split_perm012_B,-754.2668234415391,-754.1115154419733,-0.15530799956582086,0.15530799956582086,729.84925,729.91096,0.06171000000006188,native_combined_random_split,12
native_combined_random_split_perm012,diagonal_covariance_laplace,native_combined_random_split_perm012_A,native_combined_random_split_perm012_B,-754.2652891457126,-754.1108761310156,-0.15441301469695645,0.15441301469695645,729.84925,729.91096,0.06171000000006188,native_combined_random_split,12
native_combined_random_split_perm012,iqr_diagonal_laplace,native_combined_random_split_perm012_A,native_combined_random_split_perm012_B,-755.3943547488309,-755.3694541537626,-0.024900595068288567,0.024900595068288567,729.84925,729.91096,0.06171000000006188,native_combined_random_split,12
native_combined_random_split_perm013,full_covariance_laplace,native_combined_random_split_perm013_A,native_combined_random_split_perm013_B,-754.2205888528836,-754.1456008810178,-0.07498797186576667,0.07498797186576667,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,13
native_combined_random_split_perm013,diagonal_covariance_laplace,native_combined_random_split_perm013_A,native_combined_random_split_perm013_B,-754.218895888927,-754.1450540682463,-0.07384182068074097,0.07384182068074097,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,13
native_combined_random_split_perm013,iqr_diagonal_laplace,native_combined_random_split_perm013_A,native_combined_random_split_perm013_B,-755.3889895332278,-755.3869510654607,-0.002038467767079055,0.002038467767079055,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,13
