model,chain_group,quantity,n_rows,n_cols,mean_w,q16_w,q50_w,q84_w,min,max,prior_min,prior_max,frac_near_prior_low_1pct_width,frac_near_prior_high_1pct_width,std_unweighted,prior_width,prior_contains_unity,posterior_center_offset_in_prior_widths
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,chi2__planck_2018_lowl.TT,2000,13,19.783917972570066,19.778075,19.781803,19.79074348,19.750505,19.806575,,,,,0.006575266759261756,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,chi2__planck_2018_lowl.EE,2000,13,395.9807352683364,395.97212,395.97983,395.98833,395.96399,396.00594,,,,,0.008382593121550576,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,chi2__planck_2018_lensing.native,2000,13,15.89670001848539,15.82158708,15.909522666666666,15.957963920000001,15.587287,19.692552,,,,,0.13393205657724547,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,minuslogpost,2000,13,732.252905774156,730.755405,731.89583,733.3317136,729.84925,883.08484,,,,,,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,omega_b,2000,13,0.021934604428987193,0.021907350843636365,0.021926413,0.021966896,0.021900219,0.022056177,0.0219,0.0221,0.04569266589057043,0.0,2.8624703338006233e-05,0.00020000000000000226,False,-0.32697785506402544
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,n_s,2000,13,0.9817626885302677,0.9811153092,0.98185088,0.98230495,0.98051853,0.98249804,0.9805,0.9825,0.0005820721769499418,0.011932479627473807,0.0005311343904220884,0.0020000000000000018,False,0.1313442651338369
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,A_planck,2000,13,1.0200457954307334,1.0200071,1.020028425,1.0200698,1.02,1.0250552,1.02,1.03,0.9260768335273574,0.0,0.00016151115804961355,0.010000000000000009,False,-0.4954204569266536
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,chi2__CMB,2000,13,1503.1797547147848,1500.18473,1502.4656,1505.33735,1498.3724,1804.8436,,,,,9.466279196788749,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,minuslogprior,2000,13,-19.336971,-19.336971,-19.336971,-19.336971,-19.336971,-19.336971,,,,,3.5536021904259474e-15,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,minuslogprior__0,2000,13,-19.336971,-19.336971,-19.336971,-19.336971,-19.336971,-19.336971,,,,,3.5536021904259474e-15,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,chi2,2000,13,1503.1797547147848,1500.18473,1502.4656,1505.33735,1498.3724,1804.8436,,,,,9.466279196788749,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,chi2__planck_2018_highl_plik.TTTEEE_lite,2000,13,1071.515460710128,1068.49702,1070.8410000000001,1073.711632,1066.6404,1368.9845,,,,,9.350838846918958,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,chi2__planck_2018_lowl.TT,2000,13,19.7843729362631,19.77782852,19.782343,19.792529599999998,19.753788,19.806258,,,,,0.007146639417318898,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,chi2__planck_2018_lowl.EE,2000,13,395.9809355122236,395.97212,395.97983,395.98955,395.93349,396.00594,,,,,0.009005401693175019,,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,chi2__planck_2018_lensing.native,2000,13,15.898984798894062,15.809946140000001,15.907517,15.963358173333333,15.570719,20.171817,,,,,0.14969630387948557,,,
deu,COMBINED_deu,minuslogpost,4000,15,573.9558113378956,573.241664,573.6871925,574.713322,572.83932,581.07629,,,,,,,,
deu,COMBINED_deu,deu_damping_envelope_beta,4000,15,0.029491217248075276,0.028849905,0.029503285,0.030128599,0.028503605,0.030499613,0.0285,0.0305,0.002053036783575706,0.0022241231822070144,0.0005456939510289799,0.0019999999999999983,False,-0.004391375962361364
deu,COMBINED_deu,deu_transfer_polamp_p_vis,4000,15,1.0474182267750216,1.0459375,1.0473473666666668,1.048932,1.0450006,1.0499778,1.045,1.05,0.004790419161676647,0.002053036783575706,0.001300901026043536,0.0050000000000001155,False,-0.01635464499565271
deu,COMBINED_deu,omega_b,4000,15,0.021980020954662106,0.021927287,0.021972856,0.0220347,0.021900233,0.022099565,0.0219,0.0221,0.0073567151411462785,0.0015397775876817793,4.933863533205723e-05,0.00020000000000000226,False,-0.09989522668946384
deu,COMBINED_deu,n_s,4000,15,0.9815232201591104,0.98086835,0.981520515,0.98217567,0.98050506,0.98249805,0.9805,0.9825,0.008212147134302824,0.014713430282292557,0.0005617586750494778,0.0020000000000000018,False,0.01161007955519099
deu,COMBINED_deu,A_planck,4000,15,1.025055724379812,1.02420432,1.02507145,1.02590258,1.0223195,1.028335,1.02,1.03,0.0,0.0,0.0008757969842134352,0.010000000000000009,False,0.005572437981204987
deu,COMBINED_deu,chi2__CMB,4000,15,1209.611416920445,1208.18312,1209.0742,1211.12642,1207.3784,1223.8524,,,,,1.8652437659809165,,,
deu,COMBINED_deu,minuslogprior,4000,15,-30.849897000000002,-30.849897,-30.849897,-30.849897,-30.849897,-30.849897,,,,,0.0,,,
deu,COMBINED_deu,minuslogprior__0,4000,15,-30.849897000000002,-30.849897,-30.849897,-30.849897,-30.849897,-30.849897,,,,,0.0,,,
deu,COMBINED_deu,chi2,4000,15,1209.611416920445,1208.18312,1209.0742,1211.12642,1207.3784,1223.8524,,,,,1.8652437659809165,,,
deu,COMBINED_deu,chi2__planck_2018_highl_plik.TTTEEE_lite,4000,15,766.374753924722,764.898322,765.8167475,767.903956,763.98166,782.96747,,,,,1.943144725870476,,,
deu,COMBINED_deu,chi2__planck_2018_lowl.TT,4000,15,26.505307662446537,26.276692399999998,26.4979935,26.7395538,25.786733,27.260187,,,,,0.227179121280247,,,
deu,COMBINED_deu,chi2__planck_2018_lowl.EE,4000,15,397.84115769033366,397.825486,397.84179,397.85478,397.79792,397.88922,,,,,0.016491767335305944,,,
deu,COMBINED_deu,chi2__planck_2018_lensing.native,4000,15,18.8901975459367,18.3501302,18.870915,19.4085121,17.094076,21.291145,,,,,0.566525768222132,,,
native,COMBINED_native,minuslogpost,4000,13,732.1355152356407,730.739102,731.7948325,733.2527180000001,729.84925,883.08484,,,,,,,,
native,COMBINED_native,omega_b,4000,13,0.021934116700883653,0.021907334,0.0219255756,0.0219651594,0.021900159,0.022056177,0.0219,0.0221,0.037849779086892486,0.0,2.8961341293492724e-05,0.00020000000000000226,False,-0.32941649558172376
native,COMBINED_native,n_s,4000,13,0.9817776301030928,0.98117982,0.98186963,0.982305912,0.98050073,0.98249963,0.9805,0.9825,0.0014727540500736377,0.018998527245949925,0.0005136274317450871,0.0020000000000000018,False,0.1388150515463925
native,COMBINED_native,A_planck,4000,13,1.0200422931369661,1.0200057,1.0200261,1.02007,1.02,1.0250552,1.02,1.03,0.9304860088365243,0.0,0.0001488684213570623,0.010000000000000009,False,-0.49577068630337573
native,COMBINED_native,chi2__CMB,4000,13,1502.944974270987,1500.1521599999999,1502.2636,1505.1794100000002,1498.3724,1804.8436,,,,,8.77692604652451,,,
native,COMBINED_native,minuslogprior,4000,13,-19.336971,-19.336971,-19.336971,-19.336971,-19.336971,-19.336971,,,,,3.553157851294429e-15,,,
native,COMBINED_native,minuslogprior__0,4000,13,-19.336971,-19.336971,-19.336971,-19.336971,-19.336971,-19.336971,,,,,3.553157851294429e-15,,,
native,COMBINED_native,chi2,4000,13,1502.944974270987,1500.1521599999999,1502.2636,1505.1794100000002,1498.3724,1804.8436,,,,,8.77692604652451,,,
native,COMBINED_native,chi2__planck_2018_highl_plik.TTTEEE_lite,4000,13,1071.2821324153167,1068.45866,1070.6228,1073.48992,1066.6404,1368.9845,,,,,8.671333132644156,,,
native,COMBINED_native,chi2__planck_2018_lowl.TT,4000,13,19.784148201620035,19.7779752,19.782041,19.7915618,19.750505,19.806575,,,,,0.006866939651863344,,,
native,COMBINED_native,chi2__planck_2018_lowl.EE,4000,13,395.98083659941096,395.97212,395.97983,395.98858,395.93349,396.00594,,,,,0.0086999424085975,,,
native,COMBINED_native,chi2__planck_2018_lensing.native,4000,13,15.897856204860089,15.8145358,15.909067,15.961072000000001,15.570719,20.171817,,,,,0.14203355632556217,,,
